js_vx_desire,js_vy_desire,js_OmegaZ_desire,global_x,global_y,global_yaw
1,0,0.0726485,7.89613,8.01974,-2.54711
1,0,0.0726485,7.8785,8.00681,-2.54642
1,0,0.0726485,7.86066,7.99431,-2.54485
1,0,0.0726485,7.84276,7.98216,-2.5437
1,0,0.0754587,7.82487,7.97037,-2.54364
1,0,0.0754587,7.80713,7.95904,-2.54509
1,0,0.0754587,7.78986,7.94805,-2.54872
1,0,0.0754587,7.77299,7.9371,-2.55418
1,0,0.0754587,7.75592,7.92641,-2.55886
1,0,0.0754587,7.73801,7.91634,-2.56111
1,0,0.0754587,7.71904,7.9068,-2.56235
1,0,0.0754587,7.69908,7.89742,-2.56256
1,0,0.136787,7.67943,7.88752,-2.56369
1,0,0.136787,7.65969,7.8769,-2.56204
1,0,0.136787,7.63938,7.86561,-2.55736
1,0,0.136787,7.61865,7.85387,-2.55094
1,0,0.136787,7.59813,7.84184,-2.54441
1,0,0.136787,7.57818,7.8293,-2.53759
1,0,0.136787,7.55892,7.81662,-2.53236
1,0,0.136787,7.5403,7.80329,-2.52742
1,0,0.21848,7.52232,7.78929,-2.52225
1,0,0.21848,7.50519,7.77511,-2.51701
1,0,0.21848,7.48892,7.76139,-2.5114
1,0,0.21848,7.47305,7.74826,-2.50504
1,0,0.21848,7.45736,7.73511,-2.498
1,0,0.21848,7.44194,7.72136,-2.49007
1,0,0.21848,7.42692,7.70679,-2.48112
1,0,0.21848,7.41216,7.6916,-2.47159
1,0,0.140879,7.3974,7.67601,-2.46289
1,0,0.140879,7.38245,7.66027,-2.4583
1,0,0.140879,7.36718,7.64494,-2.45664
1,0,0.140879,7.35186,7.62925,-2.45916
1,0,0.140879,7.33632,7.61349,-2.46209
1,0,0.140879,7.32065,7.59785,-2.46544
1,0,0.140879,7.30486,7.58257,-2.46883
1,0,0.114277,7.28872,7.56777,-2.4709
1,0,0.114277,7.27209,7.55327,-2.47092
1,0,0.114277,7.25529,7.53914,-2.46915
1,0,0.114277,7.23822,7.52544,-2.46707
1,0,0.114277,7.22105,7.51211,-2.46554
1,0,0.114277,7.20387,7.49916,-2.4652
1,0,0.0717959,7.18692,7.48671,-2.46636
1,0,0.0717959,7.1705,7.47458,-2.47009
1,0,0.0717959,7.15436,7.46248,-2.47581
1,0,0.0717959,7.13777,7.45069,-2.48017
1,0,0.0717959,7.12016,7.43948,-2.4822
1,0,0.0717959,7.1013,7.42863,-2.48274
1,0,0.0717959,7.08231,7.41765,-2.48355
1,0,0.105239,7.06348,7.40599,-2.48332
1,0,0.105239,7.04425,7.39359,-2.48058
1,0,0.105239,7.02458,7.38056,-2.4758
1,0,0.105239,7.00482,7.3672,-2.46983
1,0,0.105239,6.98545,7.35343,-2.46327
1,0,0.105239,6.96667,7.33935,-2.45791
1,0,0.105239,6.94869,7.32486,-2.45342
1,0,0.175248,6.93147,7.30974,-2.44877
1,0,0.175248,6.91511,7.2944,-2.44409
1,0,0.175248,6.89963,7.27953,-2.43924
1,0,0.175248,6.88458,7.26529,-2.4338
1,0,0.175248,6.86971,7.25114,-2.42776
1,0,0.175248,6.85513,7.23647,-2.42089
1,0,0.121941,6.84098,7.22103,-2.41295
1,0,0.121941,6.82716,7.20495,-2.40485
1,0,0.121941,6.81339,7.1885,-2.39759
1,0,0.121941,6.7995,7.17165,-2.39331
1,0,0.121941,6.78532,7.15501,-2.39031
1,0,0.121941,6.77099,7.13842,-2.3911
1,0,0.121941,6.75652,7.12158,-2.3944
1,0,0.0620869,6.74177,7.10467,-2.39784
1,0,0.0620869,6.72687,7.08795,-2.40214
